SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,S,AFT
57.4,27,5.23,4.48,1.18,0.491,0.833,1.04,0.914,0.147,0.3,1404.444444
45.6,37.4,4.84,4.4,0.657,0.091,0.1,2.42,1.29,0.505,0.51,1537.777778
60.8,31.6,2.46,1.67,0.506,0.889,2.41,1.7,1.02,0.085,0.49,1537.777778
50,39.4,4.16,1.52,0.26,0.13,0.345,0.875,1.01,0.275,1.31,1537.777778
58.8,18.8,3.12,7.22,3.28,0.873,1.17,1.47,1.1,0.048,0.19,1354.444444
54.4,37.2,4.47,1.63,0.467,0.91,0.374,1.28,2.1,0.134,0.73,1537.777778
50.4,33.5,3.68,2.07,0.945,1.73,2.38,1.35,1.5,0.644,0.41,1537.777778
55.7,31.8,3.03,3.58,0.939,0.795,1.02,1.38,1.18,0.314,0.23,1537.777778
50.3,33.4,6.43,4.06,0.983,0.14,1.24,3.17,1.32,0.425,1.05,1537.777778
57.9,35.5,1.49,1.22,0.803,0.53,0.451,0.483,1.16,0.105,0.31,1537.777778
49,34.5,2.11,3.77,1.52,0.33,0.528,2.23,1.92,1.11,0.39,1537.777778
62.8,26.5,2.51,2.79,1.18,0.605,1.83,0.331,1.16,0.436,0.12,1537.777778
50.6,37.1,5.09,0.96,1.03,0.225,0.683,1.18,1.26,0.158,0.98,1537.777778
57.7,33.5,5.78,0.472,0.221,0.126,0.875,0.45,1.17,0.094,0.85,1537.777778
50.3,29.3,10,2.04,0.5,0.069,0.973,2.54,1.3,0.08,2.81,1537.777778
66.9,29.6,1.89,1.31,0.418,0.476,0.681,0.362,1.15,0.041,0.24,1537.777778
62.6,30.2,3.24,0.983,0.578,0.71,0.654,0.541,1.34,0.058,0.2,1537.777778
43.4,34.8,2.56,8.92,1.11,0.512,0.22,3.55,1.49,1.12,0.27,1537.777778
61.8,26.8,2.46,2.72,0.382,0.375,0.443,1.11,1.31,0.064,0.4,1537.777778
60.9,26.3,2.56,4.19,0.516,0.282,0.712,0.882,1.15,0.058,0.24,1537.777778
45.5,15,20,3.45,1.51,0.992,2.38,7.06,0.983,0.398,0.58,1115.555556
53.2,18.3,7.32,7,2.08,0.358,1.34,7.34,1.08,0.739,0.3,1304.444444
49.9,33,4.47,3.62,0.5,0.116,0.246,1.8,1.84,0.094,0.54,1537.777778
52.7,35.6,4.36,0.778,0.832,1.3,3.78,0.342,1.57,0.302,0.39,1537.777778
58.2,27.7,4.12,3.14,0.912,0.333,1.99,1.46,1.12,0.174,0.3,1537.777778
55,26.8,4.04,4.36,1.06,1.31,2.23,1.9,1.17,0.302,0.2,1498.888889
61.1,27.1,4.09,1.3,1.65,0.449,1.71,0.905,1.03,0.145,0.12,1537.777778
63.7,25.5,4.09,1.38,1.32,1.06,2.7,0.832,0.813,0.114,0.11,1537.777778
67,24,5.43,1.43,0.914,0.687,3.11,0.481,0.964,0.077,0.3,1537.777778
52.6,41.6,1.53,1.42,0.407,0.069,0.546,0.529,1.17,0.122,0.18,1537.777778
61.8,19.8,4.34,3.97,0.853,0.763,2.94,0.813,0.584,0.04,0.13,1504.444444
67,20.5,3,2.53,0.69,0.658,2.64,0.703,0.626,0.115,0.09,1532.222222
62.9,19.6,3.53,4.74,0.348,0.385,1.67,1.2,1.16,0.423,0.16,1482.222222
60.5,21.2,4.17,2.84,1.43,0.573,3.14,1.33,0.903,0.413,0.09,1510
